Variable:,pr
Country:,Colombia
Subnational-unit:,Amazonas
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1983,200.15,239.21,233.49,311.02,264.12,301.43,251.05,177.99,167.97,191.64,181.35,230.02
1984,150.06,159.56,197.37,276.47,232.88,226.26,220.35,195.50,159.42,224.17,177.48,164.34
1985,196.14,192.25,254.24,258.04,308.00,272.04,255.32,211.85,215.47,246.61,219.52,212.83
1986,272.78,205.84,213.20,373.55,231.62,217.84,235.37,184.15,179.69,230.43,187.71,223.52
1987,203.86,227.49,212.05,231.16,312.30,243.15,204.42,167.57,173.05,204.78,241.98,176.11
1988,271.58,203.16,263.97,269.85,317.04,293.81,186.93,214.76,163.51,207.88,227.55,167.45
1989,268.51,187.49,248.95,282.76,268.37,294.83,238.17,207.31,157.88,173.93,182.68,205.34
1990,198.95,203.77,247.36,324.43,266.13,253.96,196.72,215.27,168.68,201.91,202.11,167.07
1991,157.49,200.60,279.88,318.35,233.69,244.76,225.46,270.05,211.80,171.71,170.10,215.31
1992,248.07,185.03,309.38,320.84,265.15,236.34,256.00,233.57,202.00,265.58,246.03,182.87
1993,218.89,201.13,281.63,314.09,277.20,319.87,216.72,232.34,218.10,215.22,214.68,217.98
1994,280.89,187.87,281.03,327.88,334.95,335.78,253.71,196.28,214.03,252.28,257.04,241.66
1995,225.70,241.56,277.98,367.45,356.29,265.36,237.77,240.32,210.43,222.59,206.63,201.69
1996,188.75,267.19,265.27,300.47,349.97,264.78,225.00,220.38,220.84,212.72,216.38,267.17
1997,225.45,207.75,272.72,363.62,319.52,248.67,220.14,205.36,188.21,226.67,188.19,214.10
1998,277.20,252.22,276.14,349.68,328.47,254.85,265.64,222.95,230.70,212.80,207.69,205.84
1999,227.46,232.24,317.55,344.39,352.07,254.41,219.41,268.19,236.24,174.76,178.34,194.76
2000,264.08,225.05,323.23,318.48,319.69,255.91,233.72,189.50,185.60,265.79,187.76,242.31
2001,219.07,200.60,287.94,338.29,348.40,219.29,311.40,228.76,215.47,317.91,255.79,258.87
2002,222.38,288.34,289.69,335.27,412.37,346.42,249.23,242.83,201.00,244.56,306.88,243.56
2003,220.11,218.89,388.28,287.96,396.54,284.85,355.59,267.69,217.00,269.06,214.13,263.74
2004,235.94,277.64,395.10,297.22,306.45,278.69,246.46,234.65,186.95,368.76,298.34,280.06
2005,318.11,206.11,388.04,362.60,435.54,302.97,222.28,277.94,175.93,248.95,244.09,269.15
2006,314.57,184.47,381.12,333.78,350.89,278.75,222.44,187.87,235.40,326.30,305.21,290.83
2007,304.02,249.76,354.80,288.81,308.09,262.48,232.33,201.67,226.22,276.09,239.48,192.00
2008,288.10,256.92,353.13,303.55,280.91,288.66,227.14,209.02,169.11,226.06,219.85,248.75
2009,237.37,213.82,279.02,264.23,259.02,290.21,222.16,174.07,149.69,196.00,239.26,176.74
2010,216.86,186.31,256.64,293.62,294.35,268.87,234.93,171.39,190.33,196.80,211.58,202.11
2011,209.33,227.04,331.49,274.96,270.86,241.05,218.20,175.42,198.79,219.33,167.16,200.74
2012,220.82,243.01,298.66,283.32,291.60,295.78,237.65,238.49,168.38,239.95,190.98,187.29
2013,221.30,260.64,278.88,342.20,287.98,254.50,269.07,229.58,210.81,200.81,213.67,239.98
2014,256.77,189.24,288.57,384.99,286.29,239.18,276.20,240.66,185.85,218.12,158.20,182.52
2015,150.98,236.86,274.34,332.54,279.12,256.74,300.54,197.45,169.49,231.75,188.42,212.30
2016,250.07,229.56,283.08,314.99,274.06,275.78,239.28,235.44,213.49,234.48,245.15,165.25
2017,230.57,216.11,267.75,314.63,314.45,254.43,235.98,238.42,199.69,255.35,220.05,287.47
2018,243.86,200.45,309.35,321.79,302.96,369.90,268.48,191.62,186.17,220.54,233.95,255.45
2019,218.62,241.15,252.82,349.90,324.53,321.24,282.18,199.10,202.21,231.73,195.72,222.00
2020,,,,,,,,,,,,
