month,year,admin_ascii,total_cases,confirmed_cases
2,2008,bolivar,131,83
2,2008,boyaca,13,4
2,2008,caldas,15,14
2,2008,caqueta,29,12
2,2008,casanare,150,29
2,2008,cauca,30,9
2,2008,cesar,86,17
2,2008,choco,,
2,2008,cordoba,59,35
2,2008,cundinamarca,81,48
2,2008,exterior,,
2,2008,guainia,54,8
2,2008,guajira,51,22
2,2008,guaviare,20,17
2,2008,huila,220,61
2,2008,magdalena,36,26
2,2008,meta,137,39
2,2008,nari�o,,
2,2008,norte santander,310,67
2,2008,procedencia desconocida,14,10
2,2008,putumayo,48,11
2,2008,quindio,95,22
2,2008,risaralda,42,17
2,2008,san andres,2,0
2,2008,santander,432,101
2,2008,sucre,96,23
2,2008,tolima,148,57
2,2008,valle,207,90
2,2008,vaupes,,
2,2008,vichada,11,0
2,2009,amazonas,4,2
2,2009,antioquia,41,36
2,2009,arauca,18,4
2,2009,atlantico,273,259
2,2009,bogota,,
2,2009,bolivar,68,52
2,2009,boyaca,8,5
2,2009,caldas,16,9
2,2009,caqueta,22,13
2,2009,casanare,494,193
2,2009,cauca,34,9
2,2009,cesar,23,9
2,2009,choco,4,4
2,2009,cordoba,36,17
2,2009,cundinamarca,39,15
2,2009,exterior,,
2,2009,guainia,,
2,2009,guajira,78,66
2,2009,guaviare,6,6
2,2009,huila,151,99
2,2009,magdalena,98,83
2,2009,meta,213,52
2,2009,nari�o,,
2,2009,norte santander,244,133
2,2009,procedencia desconocida,3,2
2,2009,putumayo,29,9
2,2009,quindio,12,4
2,2009,risaralda,9,4
2,2009,san andres,1,0
2,2009,santander,356,120
2,2009,sucre,72,51
2,2009,tolima,174,52
2,2009,valle,233,133
2,2009,vaupes,1,1
2,2009,vichada,2,0
2,2010,amazonas,,
2,2010,antioquia,819,427
2,2010,arauca,174,35
2,2010,atlantico,263,50
2,2010,bogota,,
2,2010,bolivar,96,16
2,2010,boyaca,186,86
2,2010,caldas,330,56
2,2010,caqueta,86,15
2,2010,casanare,220,70
2,2010,cauca,347,118
2,2010,cesar,312,78
2,2010,choco,94,8
2,2010,cordoba,43,3
2,2010,cundinamarca,666,116
2,2010,exterior,10,3
2,2010,guainia,25,7
2,2010,guajira,127,43
2,2010,guaviare,139,6
2,2010,huila,1005,684
2,2010,magdalena,174,14
2,2010,meta,614,89
2,2010,nari�o,25,10
2,2010,norte santander,932,441
2,2010,procedencia desconocida,12,4
2,2010,putumayo,244,64
2,2010,quindio,1422,178
2,2010,risaralda,1847,63
2,2010,san andres,1,0
2,2010,santander,2115,187
2,2010,sucre,116,14
2,2010,tolima,1886,433
2,2010,valle,3652,907
2,2010,vaupes,1,1
2,2010,vichada,40,7
2,2011,amazonas,27,17
2,2011,antioquia,138,49
2,2011,arauca,15,11
2,2011,atlantico,121,92
2,2011,bogota,,
2,2011,bolivar,63,45
2,2011,boyaca,10,9
2,2011,caldas,36,36
2,2011,caqueta,18,15
2,2011,casanare,38,14
2,2011,cauca,35,14
2,2011,cesar,60,28
2,2011,choco,21,20
2,2011,cordoba,47,25
2,2011,cundinamarca,82,44
2,2011,exterior,5,4
2,2011,guainia,,
2,2011,guajira,28,18
2,2011,guaviare,20,17
2,2011,huila,144,87
2,2011,magdalena,30,26
2,2011,meta,158,37
2,2011,nari�o,15,15
2,2011,norte santander,242,97
2,2011,procedencia desconocida,22,20
