month,city_ascii,year,total_cases,confirmed_cases,city_ascii,lat,lng,admin_ascii,population,population_proper
3,abrego,2017,5,2,abrego,8.0806,-73.2205,norte de santander,,
7,abrego,2017,4,2,abrego,8.0806,-73.2205,norte de santander,,
6,abrego,2017,3,1,abrego,8.0806,-73.2205,norte de santander,,
2,abrego,2017,5,0,abrego,8.0806,-73.2205,norte de santander,,
11,abrego,2017,1,1,abrego,8.0806,-73.2205,norte de santander,,
8,abrego,2017,5,3,abrego,8.0806,-73.2205,norte de santander,,
5,abrego,2017,1,1,abrego,8.0806,-73.2205,norte de santander,,
4,abrego,2017,3,1,abrego,8.0806,-73.2205,norte de santander,,
12,abrego,2017,1,0,abrego,8.0806,-73.2205,norte de santander,,
9,abrego,2017,1,1,abrego,8.0806,-73.2205,norte de santander,,
11,abriaqui,2010,1,0,abriaqui,6.6317,-76.0639,antioquia,,
2,abriaqui,2010,1,0,abriaqui,6.6317,-76.0639,antioquia,,
6,abriaqui,2010,1,0,abriaqui,6.6317,-76.0639,antioquia,,
8,abriaqui,2016,1,0,abriaqui,6.6317,-76.0639,antioquia,,
10,abriaqui,2016,1,0,abriaqui,6.6317,-76.0639,antioquia,,
10,acacias,2007,39,4,acacias,3.9889,-73.7647,meta,75252,75252
1,acacias,2007,17,5,acacias,3.9889,-73.7647,meta,75252,75252
6,acacias,2007,92,8,acacias,3.9889,-73.7647,meta,75252,75252
12,acacias,2007,35,3,acacias,3.9889,-73.7647,meta,75252,75252
8,acacias,2007,60,10,acacias,3.9889,-73.7647,meta,75252,75252
7,acacias,2007,96,27,acacias,3.9889,-73.7647,meta,75252,75252
11,acacias,2007,48,4,acacias,3.9889,-73.7647,meta,75252,75252
2,acacias,2007,14,1,acacias,3.9889,-73.7647,meta,75252,75252
5,acacias,2007,74,9,acacias,3.9889,-73.7647,meta,75252,75252
3,acacias,2007,23,5,acacias,3.9889,-73.7647,meta,75252,75252
9,acacias,2007,32,5,acacias,3.9889,-73.7647,meta,75252,75252
4,acacias,2007,41,10,acacias,3.9889,-73.7647,meta,75252,75252
10,acacias,2008,25,5,acacias,3.9889,-73.7647,meta,75252,75252
8,acacias,2008,19,1,acacias,3.9889,-73.7647,meta,75252,75252
3,acacias,2008,31,7,acacias,3.9889,-73.7647,meta,75252,75252
1,acacias,2008,27,6,acacias,3.9889,-73.7647,meta,75252,75252
11,acacias,2008,23,5,acacias,3.9889,-73.7647,meta,75252,75252
12,acacias,2008,31,4,acacias,3.9889,-73.7647,meta,75252,75252
,acacias,2008,4,0,acacias,3.9889,-73.7647,meta,75252,75252
2,acacias,2008,28,5,acacias,3.9889,-73.7647,meta,75252,75252
4,acacias,2008,38,7,acacias,3.9889,-73.7647,meta,75252,75252
7,acacias,2008,29,3,acacias,3.9889,-73.7647,meta,75252,75252
6,acacias,2008,32,2,acacias,3.9889,-73.7647,meta,75252,75252
9,acacias,2008,37,3,acacias,3.9889,-73.7647,meta,75252,75252
5,acacias,2008,34,8,acacias,3.9889,-73.7647,meta,75252,75252
9,acacias,2009,17,2,acacias,3.9889,-73.7647,meta,75252,75252
8,acacias,2009,47,0,acacias,3.9889,-73.7647,meta,75252,75252
7,acacias,2009,35,0,acacias,3.9889,-73.7647,meta,75252,75252
1,acacias,2009,27,1,acacias,3.9889,-73.7647,meta,75252,75252
3,acacias,2009,34,0,acacias,3.9889,-73.7647,meta,75252,75252
2,acacias,2009,20,1,acacias,3.9889,-73.7647,meta,75252,75252
11,acacias,2009,36,1,acacias,3.9889,-73.7647,meta,75252,75252
4,acacias,2009,23,0,acacias,3.9889,-73.7647,meta,75252,75252
12,acacias,2009,20,0,acacias,3.9889,-73.7647,meta,75252,75252
10,acacias,2009,24,0,acacias,3.9889,-73.7647,meta,75252,75252
5,acacias,2009,12,0,acacias,3.9889,-73.7647,meta,75252,75252
6,acacias,2009,16,0,acacias,3.9889,-73.7647,meta,75252,75252
3,acacias,2010,90,13,acacias,3.9889,-73.7647,meta,75252,75252
7,acacias,2010,52,4,acacias,3.9889,-73.7647,meta,75252,75252
11,acacias,2010,36,4,acacias,3.9889,-73.7647,meta,75252,75252
10,acacias,2010,32,1,acacias,3.9889,-73.7647,meta,75252,75252
4,acacias,2010,69,13,acacias,3.9889,-73.7647,meta,75252,75252
8,acacias,2010,83,5,acacias,3.9889,-73.7647,meta,75252,75252
5,acacias,2010,103,5,acacias,3.9889,-73.7647,meta,75252,75252
2,acacias,2010,106,14,acacias,3.9889,-73.7647,meta,75252,75252
12,acacias,2010,30,1,acacias,3.9889,-73.7647,meta,75252,75252
6,acacias,2010,61,8,acacias,3.9889,-73.7647,meta,75252,75252
1,acacias,2010,38,4,acacias,3.9889,-73.7647,meta,75252,75252
9,acacias,2010,47,2,acacias,3.9889,-73.7647,meta,75252,75252
11,acacias,2011,35,7,acacias,3.9889,-73.7647,meta,75252,75252
3,acacias,2011,21,3,acacias,3.9889,-73.7647,meta,75252,75252
8,acacias,2011,29,12,acacias,3.9889,-73.7647,meta,75252,75252
5,acacias,2011,45,5,acacias,3.9889,-73.7647,meta,75252,75252
12,acacias,2011,39,5,acacias,3.9889,-73.7647,meta,75252,75252
4,acacias,2011,32,9,acacias,3.9889,-73.7647,meta,75252,75252
7,acacias,2011,24,6,acacias,3.9889,-73.7647,meta,75252,75252
1,acacias,2011,26,3,acacias,3.9889,-73.7647,meta,75252,75252
10,acacias,2011,42,11,acacias,3.9889,-73.7647,meta,75252,75252
9,acacias,2011,33,4,acacias,3.9889,-73.7647,meta,75252,75252
6,acacias,2011,21,7,acacias,3.9889,-73.7647,meta,75252,75252
2,acacias,2011,10,1,acacias,3.9889,-73.7647,meta,75252,75252
10,acacias,2012,95,3,acacias,3.9889,-73.7647,meta,75252,75252
9,acacias,2012,67,9,acacias,3.9889,-73.7647,meta,75252,75252
8,acacias,2012,66,7,acacias,3.9889,-73.7647,meta,75252,75252
4,acacias,2012,124,20,acacias,3.9889,-73.7647,meta,75252,75252
3,acacias,2012,107,25,acacias,3.9889,-73.7647,meta,75252,75252
2,acacias,2012,79,17,acacias,3.9889,-73.7647,meta,75252,75252
1,acacias,2012,49,17,acacias,3.9889,-73.7647,meta,75252,75252
5,acacias,2012,77,15,acacias,3.9889,-73.7647,meta,75252,75252
7,acacias,2012,62,11,acacias,3.9889,-73.7647,meta,75252,75252
12,acacias,2012,30,5,acacias,3.9889,-73.7647,meta,75252,75252
6,acacias,2012,56,11,acacias,3.9889,-73.7647,meta,75252,75252
11,acacias,2012,25,4,acacias,3.9889,-73.7647,meta,75252,75252
5,acacias,2013,80,21,acacias,3.9889,-73.7647,meta,75252,75252
6,acacias,2013,95,16,acacias,3.9889,-73.7647,meta,75252,75252
2,acacias,2013,66,12,acacias,3.9889,-73.7647,meta,75252,75252
1,acacias,2013,51,11,acacias,3.9889,-73.7647,meta,75252,75252
7,acacias,2013,89,16,acacias,3.9889,-73.7647,meta,75252,75252
4,acacias,2013,100,19,acacias,3.9889,-73.7647,meta,75252,75252
11,acacias,2013,57,7,acacias,3.9889,-73.7647,meta,75252,75252
9,acacias,2013,77,18,acacias,3.9889,-73.7647,meta,75252,75252
8,acacias,2013,63,11,acacias,3.9889,-73.7647,meta,75252,75252
12,acacias,2013,81,16,acacias,3.9889,-73.7647,meta,75252,75252
3,acacias,2013,66,10,acacias,3.9889,-73.7647,meta,75252,75252
10,acacias,2013,66,13,acacias,3.9889,-73.7647,meta,75252,75252
7,acacias,2014,107,32,acacias,3.9889,-73.7647,meta,75252,75252
9,acacias,2014,85,20,acacias,3.9889,-73.7647,meta,75252,75252
2,acacias,2014,106,54,acacias,3.9889,-73.7647,meta,75252,75252
3,acacias,2014,195,93,acacias,3.9889,-73.7647,meta,75252,75252
1,acacias,2014,57,26,acacias,3.9889,-73.7647,meta,75252,75252
10,acacias,2014,48,14,acacias,3.9889,-73.7647,meta,75252,75252
5,acacias,2014,106,28,acacias,3.9889,-73.7647,meta,75252,75252
4,acacias,2014,112,28,acacias,3.9889,-73.7647,meta,75252,75252
8,acacias,2014,95,27,acacias,3.9889,-73.7647,meta,75252,75252
6,acacias,2014,113,33,acacias,3.9889,-73.7647,meta,75252,75252
11,acacias,2014,29,6,acacias,3.9889,-73.7647,meta,75252,75252
12,acacias,2014,63,13,acacias,3.9889,-73.7647,meta,75252,75252
,acacias,2014,11,1,acacias,3.9889,-73.7647,meta,75252,75252
2,acacias,2015,112,22,acacias,3.9889,-73.7647,meta,75252,75252
8,acacias,2015,35,3,acacias,3.9889,-73.7647,meta,75252,75252
9,acacias,2015,30,4,acacias,3.9889,-73.7647,meta,75252,75252
4,acacias,2015,93,10,acacias,3.9889,-73.7647,meta,75252,75252
3,acacias,2015,166,32,acacias,3.9889,-73.7647,meta,75252,75252
6,acacias,2015,60,11,acacias,3.9889,-73.7647,meta,75252,75252
5,acacias,2015,74,8,acacias,3.9889,-73.7647,meta,75252,75252
1,acacias,2015,73,13,acacias,3.9889,-73.7647,meta,75252,75252
7,acacias,2015,30,2,acacias,3.9889,-73.7647,meta,75252,75252
11,acacias,2015,28,4,acacias,3.9889,-73.7647,meta,75252,75252
12,acacias,2015,21,3,acacias,3.9889,-73.7647,meta,75252,75252
10,acacias,2015,21,2,acacias,3.9889,-73.7647,meta,75252,75252
3,acacias,2016,40,5,acacias,3.9889,-73.7647,meta,75252,75252
5,acacias,2016,27,3,acacias,3.9889,-73.7647,meta,75252,75252
4,acacias,2016,33,5,acacias,3.9889,-73.7647,meta,75252,75252
7,acacias,2016,9,2,acacias,3.9889,-73.7647,meta,75252,75252
2,acacias,2016,61,17,acacias,3.9889,-73.7647,meta,75252,75252
1,acacias,2016,50,14,acacias,3.9889,-73.7647,meta,75252,75252
10,acacias,2016,11,1,acacias,3.9889,-73.7647,meta,75252,75252
8,acacias,2016,17,1,acacias,3.9889,-73.7647,meta,75252,75252
6,acacias,2016,28,2,acacias,3.9889,-73.7647,meta,75252,75252
12,acacias,2016,9,2,acacias,3.9889,-73.7647,meta,75252,75252
9,acacias,2016,6,0,acacias,3.9889,-73.7647,meta,75252,75252
11,acacias,2016,7,1,acacias,3.9889,-73.7647,meta,75252,75252
11,acacias,2017,9,0,acacias,3.9889,-73.7647,meta,75252,75252
2,acacias,2017,11,1,acacias,3.9889,-73.7647,meta,75252,75252
9,acacias,2017,6,2,acacias,3.9889,-73.7647,meta,75252,75252
12,acacias,2017,10,4,acacias,3.9889,-73.7647,meta,75252,75252
6,acacias,2017,16,2,acacias,3.9889,-73.7647,meta,75252,75252
1,acacias,2017,22,5,acacias,3.9889,-73.7647,meta,75252,75252
5,acacias,2017,16,0,acacias,3.9889,-73.7647,meta,75252,75252
4,acacias,2017,14,1,acacias,3.9889,-73.7647,meta,75252,75252
10,acacias,2017,6,2,acacias,3.9889,-73.7647,meta,75252,75252
7,acacias,2017,19,1,acacias,3.9889,-73.7647,meta,75252,75252
3,acacias,2017,15,0,acacias,3.9889,-73.7647,meta,75252,75252
8,acacias,2017,4,0,acacias,3.9889,-73.7647,meta,75252,75252
6,acandi,2008,1,1,acandi,8.5114,-77.2778,choco,,
3,acandi,2010,2,0,acandi,8.5114,-77.2778,choco,,
7,acandi,2011,1,0,acandi,8.5114,-77.2778,choco,,
10,acandi,2011,3,0,acandi,8.5114,-77.2778,choco,,
2,acandi,2011,1,1,acandi,8.5114,-77.2778,choco,,
6,acandi,2013,1,1,acandi,8.5114,-77.2778,choco,,
7,acandi,2014,8,6,acandi,8.5114,-77.2778,choco,,
3,acandi,2014,1,1,acandi,8.5114,-77.2778,choco,,
1,acandi,2014,1,0,acandi,8.5114,-77.2778,choco,,
4,acandi,2014,1,1,acandi,8.5114,-77.2778,choco,,
5,acandi,2014,2,1,acandi,8.5114,-77.2778,choco,,
8,acandi,2014,1,1,acandi,8.5114,-77.2778,choco,,
